City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
189,nanao,37.05,136.9667,81.3,82,67,4.83,JP,1689980134
190,port alfred,-33.5906,26.891,66.88,51,86,18.99,ZA,1689980134
191,paciran,-6.8767,112.3761,72.86,80,11,9.86,ID,1689980134
192,horta,38.5333,-28.6333,69.03,92,95,1.01,PT,1689980107
193,mana,5.6592,-53.7767,77.77,89,43,8.55,GF,1689980135
194,chocznia,49.8742,19.4544,65.3,91,100,1.01,PL,1689980135
195,boueni,-12.9025,45.0761,76.98,79,21,10.2,YT,1689980135
196,pauini,-7.7136,-66.9764,80.51,48,3,0.13,BR,1689980135
197,minas de marcona,-15.2119,-75.1103,57.04,81,5,12.5,PE,1689980135
198,codrington,-38.2667,141.9667,50.0,87,99,12.17,AU,1689980135
199,mata-utu,-13.2816,-176.1745,82.44,79,13,7.81,WF,1689980135
200,mount isa,-20.7333,139.5,56.97,44,0,12.66,AU,1689980135
201,miyaly,48.8844,53.7836,74.59,36,54,8.37,KZ,1689980136
202,praia,14.9215,-23.5087,81.14,74,20,13.8,CV,1689980136
203,brookings,44.3114,-96.7984,80.1,61,20,6.91,US,1689980136
204,manay,7.215,126.5397,81.66,79,100,7.25,PH,1689980136
205,loukhi,66.0764,33.0381,49.08,87,99,11.5,RU,1689980136
206,fortaleza,-3.7227,-38.5247,81.21,83,0,9.22,BR,1689980070
207,sambava,-14.2667,50.1667,68.9,88,64,13.04,MG,1689980136
208,freeport,40.6576,-73.5832,87.78,75,0,14.97,US,1689980062
209,muisne,0.6,-80.0333,79.59,84,79,7.94,EC,1689980136
210,broome,42.2506,-75.833,73.78,81,75,8.05,US,1689980137
211,asau,46.4333,26.4,68.92,78,47,3.85,RO,1689980137
212,glace bay,46.1969,-59.957,74.57,89,75,9.22,CA,1689980137
213,miguel ahumada,30.6167,-106.5167,102.78,11,18,13.67,MX,1689980137
214,valparaiso,-33.0393,-71.6273,59.0,100,100,19.57,CL,1689979887
215,vila franca do campo,37.7167,-25.4333,70.21,90,96,1.16,PT,1689980137
216,padang,-0.9492,100.3543,73.45,85,52,3.31,ID,1689980137
217,rabaul,-4.1967,152.1721,80.96,78,83,7.31,PG,1689980137
218,fale old settlement,-9.3852,-171.2468,83.53,70,94,8.08,TK,1689980138
219,touba,8.2833,-7.6833,70.56,97,32,7.0,CI,1689980138
220,aasiaat,68.7098,-52.8699,38.35,95,97,11.56,GL,1689980138
221,coquimbo,-29.9533,-71.3436,56.93,88,75,8.05,CL,1689980138
222,puerto santa,-8.9906,-78.6456,69.85,79,40,10.74,PE,1689980138
